Départ;Cols
Allemont;Col de Sarenne
Colmars;Col d'Allos
Barcelonnette;Col d'Allos
Barcelonnette;Col de la Cayolle
Barrage du Verney;Col de la Croix-de-Fer
Barrage du Verney;Col du Glandon
Beaufort;Col des Saisies
Beaufort;Cormet de Roselend
Bourg d'Oisans;Col d'Ornon
Bourg d'Oisans;Station de l'Alpe d'Huez
Bourg Saint Maurice;Col du Petit-Saint-Bernard
Bourg Saint Maurice;Cormet de Roselend
Breil sur Roya;Tunnel de Tende
Briançon;Col d'Izoard
Briançon;Col de Montgenèvre
Briançon;Col du Lautaret
Casteldelfino;Col Agnel
Chateauneuf de Grasse;Col de l'ecre
Col du Lautaret;Col du Galibier
Colmars;Col des Champs
Entrevaux;Bay
Entrevaux;Col de Félines
Entrevaux;Col du Buis
Entrevaux;Col du Trébuchet
Flumet;Col des Aravis
Flumet;Col des Saisies
Grasse;Centre Radioélectrique du Doublier
Grasse;Col du Pilon
Col du Pilon;Pas de la Faye
Grenoble;Col de Porte
Guillestre;Col de Vars
Station Isola 2000;Col de la Lombarde
Jausiers;Cime de la Bonette
L'Escarene;Col de Braus
L'Escarene;Col de la Porte
L'Escarene;Col Saint-Roch
La Chambre;Col de la Madeleine
La Chambre;Col du Glandon
Lanslebourg;Col du Mont Cenis
Lantosque;Col de la Porte
Lantosque;Col de Turini
Le Chambon;Col de Sarenne
Le Clapier;Col du Lautaret
Le Grand Bornand;Col de la Colombière
Le Rouccias;Mont Vial
Les Moulins;Cipières
Les Quatre Chemins;Col de Bleine
Les Quatre Chemins;Col de Castellaras
Luceram;Col Saint-Roch
Menton;Col de Castillon
Menton;Col de la Madone de Gorbio
Mieussy;Col de la Ramaz
Morzine;Col de Joux Plane
Nice;Col d'Eze
Nice;Col de Nice
Pont Charles-Albert;Col Saint-Michel
Pont de St Pierre;Col du Buis
Pont du Loup;Châteauneuf de Grasse
Pont du Loup;Cipières
Pont du Loup;Col de Bleine
Pont du Loup;Col de Castellaras
Pont du Loup;Col de l'ecre
Pont du Loup;Col de la Sine
Pont du Loup;Col de Vence
Sailles-le-Bas;Col du Barioz
Saint Etienne de Cuines;Col de la Croix-de-Fer
Saint Jean de Maurienne;Col de la Croix-de-Fer
Saint Michel de Maurienne;Col du Télégraphe
Saint Vallier de Thiey;Col du Ferrier
Saint-Etienne de Tinee;Cime de la Bonette
Saint-Etienne-en-Dévoluy;Col du Noyer
Saint Martin d'Entraunes;Col de la Cayolle
Saint Martin d'Entraunes;Col des Champs
Saint-Martin-le-Vinoux;Col de Porte
Saint Paul sur Ubaye;Col de Larche
Saint Paul sur Ubaye;Col de Vars
Saint-Pierre-d'Allevard;Col du Barioz
Saint-Pierre-de-Chartreuse;Col de Porte
Samoëns;Col de Joux Plane
Scionzier;Col de la Colombière
Sospel;Col de Braus
Sospel;Col de Brouis
Sospel;Col de Castillon
Sospel;Col de Turini
Sospel;Mont Gros
Susa;Col du Mont Cenis
Talloires;Col de la Forclaz
Taninges;Col de la Ramaz
Theys;Col du Barioz
Thônes;Col de la Croix Fry
Thônes;Col des Aravis
Val des Prés;Col de l'Echelle
Valloire;Col du Galibier
Valloire;Col du Télégraphe
Vence;Col de Vence
Vésonne;Col de la Forclaz
Vinadio;Col de la Lombarde
Vinadio;Col de Larche
Bourg Saint Maurice;Col de l'Iseran
Val-Cenis;Col de l'Iseran
Briançon;Col du Granon
Val des Prés;Col du Granon
Briançon;Val des Prés
Les Gleizolles;Col de Vars
Guillestre;Col Agnel
Guillestre;Station de Risoul 1850
Gorges du Guil;Col d'Izoard
Guillestre;Gorges du Guil
Beuil;Col de la Couillole
Barcelonnette;Jausiers
Jausiers;Les Gleizolles
Les Gleizolles;Saint Paul sur Ubaye
Saint Paul sur Ubaye;Vars
Vars;Guillestre
Guillaumes;Col de Valberg
Saint Martin d'Entraunes;Guillaumes
Col de Valberg;Col de la Couillole
Bourg d'Oisans;Col de Poutran
Barrage du Verney;Col de Poutran
Saint Jean de Maurienne;Col du Mollard
Villargondran;Col du Mollard
Pont de Belleville;Col du Mollard
Le Chambon;Station des Deux Alpes
La Vachette;Col de Montgenèvre
Briançon;La Vachette
Breil sur Roya;Authion
L'Escarene;Col de Turini
Col de Turini;Authion
L'Escarene;Col de Nice
Col de Nice;Col de Calaïsson
Contes;Col de Calaïsson
Contes;Col de Chateauneuf de Contes
Tourette Levens;Col de Chateauneuf de Contes
La Chambre;Col de Chaussy
Isola;Station Isola 2000
Lanslebourg;Col de l'Iseran
Lantosque;Col Saint-Martin
Station de l'Alpe d'Huez;Col de Sarenne
Saint Disdier;Col du Noyer
Saint Disdier;Super Dévoluy
Vescous;Mont Vial